,app,F1_10,P_10,recall_10
0,SemEval2010_CoTagRankUSE.out,0.137300 bl ,0.179800 bl ,0.112900 bl 
1,SemEval2010_CoTagRankWindow.out,0.141500   ,0.185200   ,0.116700   
