,app,F1_10,P_10,recall_10
0,SemEval2010_CoTagRanks2v.out,0.044500 bl ,0.059300 bl ,0.036500 bl 
1,SemEval2010_CoTagRankUSE.out,0.132400 ▲ ,0.174500 ▲ ,0.108600 ▲ 
2,SemEval2010_CoTagRankWindow.out,0.130800 ▲ ,0.172000 ▲ ,0.107300 ▲ 
