,app,F1_10,P_10,recall_10
0,SemEval2010_CoTagRankUSE.out,0.135900 bl ,0.178200 bl ,0.111800 bl 
1,SemEval2010_CoTagRankWindow.out,0.141200   ,0.184800   ,0.116400   
