,app,F1_10,P_10,recall_10
0,SemEval2010_CoTagRankUSE.out,0.138100 bl ,0.181100 bl ,0.113600 bl 
1,SemEval2010_CoTagRankWindow.out,0.142200   ,0.186000   ,0.117300   
