,app,F1_10,P_10,recall_10
0,SemEval2010_CoTagRanks2v.out,0.059300 bl ,0.079400 bl ,0.048300 bl 
1,SemEval2010_CoTagRankUSE.out,0.132800 ▲ ,0.174900 ▲ ,0.108800 ▲ 
2,SemEval2010_CoTagRankWindow.out,0.133300 ▲ ,0.174900 ▲ ,0.109600 ▲ 
