,app,F1_10,P_10,recall_10
0,SemEval2010_CoTagRankSentenceUSE.out,0.136300 bl ,0.178600 bl ,0.112100 bl 
1,SemEval2010_CoTagRankUSE.out,0.137400   ,0.180700   ,0.112700   
