,app,F1_10,P_10,recall_10
0,SemEval2010_EmbedRankSentenceBERT.out,0.063800 bl ,0.084400 bl ,0.052100 bl 
1,SemEval2010_CoTagRankPositional.out,0.145900 ▲ ,0.190900 ▲ ,0.120300 ▲ 
