,app,F1_10,P_10,recall_10
0,SemEval2017_EmbedRankSentenceBERT.out,0.240400 bl ,0.332900 bl ,0.198200 bl 
1,SemEval2017_CoTagRankUSE.out,0.281900 ▲ ,0.391100 ▲ ,0.232400 ▲ 
