,app,F1_10,P_10,recall_10
0,Inspec_EmbedRankSentenceBERT.out,0.218800 bl ,0.266200 bl ,0.197000 bl 
1,Inspec_CoTagRankUSE.out,0.245400 ▲ ,0.298400 ▲ ,0.221300 ▲ 
