,app,F1_10,P_10,recall_10
0,SemEval2017_CoTagRankSentenceUSE.out,0.282600 bl ,0.391100 bl ,0.233300 bl 
1,SemEval2017_CoTagRankUSE.out,0.283600   ,0.392300   ,0.234100   
